,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
770,S-Nucleophiles,21.72,S- and Se-Nucleophiles,S=C([S-])N1CCOCC1,CC#N
771,C-Nucleophiles,12.26,"Enamines, NHOs, Enamides and Ynamides",C/C=C\N1CCOCC1,ClCCl
772,C-Nucleophiles,12.06,"Enamines, NHOs, Enamides and Ynamides",C/C=C/N1CCOCC1,ClCCl
773,C-Nucleophiles,14.02,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCCC2)CCCC1,CC#N
774,C-Nucleophiles,12.34,Enol Ethers,C[Si](C)(C)OC1=CCCO1,CC#N
775,C-Nucleophiles,10.52,Enol Ethers,C[Si](C)(C)OC1=CCCCO1,CC#N
776,C-Nucleophiles,12.03,"Enamines, NHOs, Enamides and Ynamides",CN1CC=C(N2CCOCC2)CC1,ClCCl
777,C-Nucleophiles,9.11,Enol Ethers,COC(O[Si](C)(C)C)=C(C)C,CC#N
778,N-Nucleophiles,16.45,"Hydrazines, Hydroxylamines etc.",NN,CC#N
779,N-Nucleophiles,12.43,"Hydrazines, Hydroxylamines etc.",CNN(C)C,CC#N
780,N-Nucleophiles,22.41,"Hydrazines, Hydroxylamines etc.",CN(C)N,CC#N
781,C-Nucleophiles,2.9,Alkyl and Aryl Boron Compounds,Cc1ccc(B2OC(C)(C)C(C)(C)O2)o1,CC#N
782,C-Nucleophiles,6.38,Alkyl and Aryl Boron Compounds,Cc1ccc(B2OCCN(C)CCO2)o1,CC#N
783,C-Nucleophiles,1.84,Alkyl and Aryl Boron Compounds,Cc1ccc(B2OC(=O)CN(C)CC(=O)O2)o1,CC#N
784,C-Nucleophiles,7.66,Alkyl and Aryl Boron Compounds,Cc1ccc([B-](F)(F)F)o1,CC#N
785,C-Nucleophiles,10.76,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCOCC1)\c1ccccc1,ClCCl
786,C-Nucleophiles,9.09,Alkyl and Aryl Boron Compounds,Cc1ccc([B-](c2ccc(C)o2)(c2ccc(C)o2)c2ccc(C)o2)o1,CC#N
787,C-Nucleophiles,12.55,Alkyl and Aryl Boron Compounds,Cc1ccc([B-]23OCC(C)(CO2)CO3)o1,CC#N
788,H-Nucleophiles,9.55,H-B hydride donors,[BH3-][c+]1n(-c2c(C(C)C)cccc2C(C)C)ccn1-c1c(C(C)C)cccc1C(C)C,ClCCl
789,H-Nucleophiles,11.88,H-B hydride donors,[BH3-][c+]1n(C)ccn1C,ClCCl
790,N-Nucleophiles,21.09,Azoles and Azole Anions,c1c[n-]cn1,CS(C)=O
791,N-Nucleophiles,21.03,Azoles and Azole Anions,Cc1ncc[n-]1,CS(C)=O
792,N-Nucleophiles,21.29,Azoles and Azole Anions,Cc1c[n-]cn1,CS(C)=O
793,N-Nucleophiles,20.69,Azoles and Azole Anions,Cc1c[n-]c(C)n1,CS(C)=O
794,N-Nucleophiles,14.81,Azoles and Azole Anions,O=[N+]([O-])c1c[n-]cn1,CS(C)=O
795,N-Nucleophiles,16.06,Azoles and Azole Anions,O=Cc1ncc[n-]1,CS(C)=O
796,C-Nucleophiles,9.96,"Enamines, NHOs, Enamides and Ynamides",C=C(c1ccccc1)N1CCOCC1,ClCCl
797,N-Nucleophiles,16.4,Azoles and Azole Anions,O=Cc1c[n-]cn1,CS(C)=O
798,N-Nucleophiles,19.13,Azoles and Azole Anions,c1ccc2[n-]cnc2c1,CS(C)=O
799,N-Nucleophiles,16.29,Azoles and Azole Anions,c1ccc2[n-]nnc2c1,CS(C)=O
800,N-Nucleophiles,15.03,Nucleobases and Their Subunits,c1ncc2[n-]cnc2n1,CS(C)=O
801,N-Nucleophiles,14.78,Nucleobases and Their Subunits,Cn1c(=O)c2[n-]cnc2n(C)c1=O,CS(C)=O
802,N-Nucleophiles,18,Nucleobases and Their Subunits,Nc1ncnc2nc[n-]c12,CS(C)=O
803,N-Nucleophiles,17.04,Nucleobases and Their Subunits,O=c1cc[n-]c(=O)[nH]1,CS(C)=O
804,N-Nucleophiles,17.63,Nucleobases and Their Subunits,Cc1c[n-]c(=O)[nH]c1=O,CS(C)=O
805,N-Nucleophiles,16.36,Nucleobases and Their Subunits,Cn1ccc(=O)[n-]c1=O,CS(C)=O
806,C-Nucleophiles,9.43,"Enamines, NHOs, Enamides and Ynamides",CCOC(=O)/C=C/N(C)C,ClCCl
807,N-Nucleophiles,11.63,Nucleobases and Their Subunits,Nc1nc2nc[n-]c2c(=O)[nH]1,O
808,N-Nucleophiles,10.77,Nucleobases and Their Subunits,Cn1cnc2c(=O)[n-]c(N)nc21,O
809,N-Nucleophiles,12.09,Nucleobases and Their Subunits,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[n-]1,O
810,C-Nucleophiles,8.52,"Enamines, NHOs, Enamides and Ynamides",CCOC(=O)/C=C/N1CCOCC1,ClCCl
811,C-Nucleophiles,5.73,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)c1ccccc1,CC#N
812,C-Nucleophiles,6.57,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)c1ccc(C)cc1,CC#N
813,C-Nucleophiles,7.06,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)c1ccc(OC)cc1,CC#N
814,C-Nucleophiles,5.6,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)c1ccc(Cl)cc1,CC#N
815,C-Nucleophiles,6.21,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(=O)Oc1ccccc1)c1ccc(Cl)cc1,CC#N
816,C-Nucleophiles,5.44,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(=O)c1ccccc1)c1ccccc1,CC#N
817,C-Nucleophiles,6.28,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)c1ccc2ccccc2c1,CC#N
818,C-Nucleophiles,4.91,"Enamines, NHOs, Enamides and Ynamides",CC(=O)NC1=CCCc2ccccc21,CC#N
819,C-Nucleophiles,5.64,"Enamines, NHOs, Enamides and Ynamides",CC(=O)NC1=CCCCC1,CC#N
820,H-Nucleophiles,0.09,H-C hydride donors,C1=CCC=CC1,ClCCl
821,C-Nucleophiles,7.06,"Enamines, NHOs, Enamides and Ynamides",CC(=O)NC1=CCCC1,CC#N
822,C-Nucleophiles,4.61,"Enamines, NHOs, Enamides and Ynamides",C=C(NC(C)=O)C(C)(C)C,CC#N
823,H-Nucleophiles,-0.07,H-C hydride donors,C1=CCc2ccccc2C1,ClCCl
824,H-Nucleophiles,-0.86,H-C hydride donors,c1ccc2c(c1)Cc1ccccc1C2,ClCCl
825,N-Nucleophiles,13.58,Guanidines,CN(C)C(=N)N(C)C,ClCCl
826,N-Nucleophiles,14.36,Guanidines,CN(C)C(=NCc1ccccc1)N(C)C,ClCCl
827,N-Nucleophiles,12.46,Guanidines,CN1CCN(C)C1=N,ClCCl
828,N-Nucleophiles,14,Guanidines,CN1CCN(C)C1=NCc1ccccc1,ClCCl
829,N-Nucleophiles,14.44,Guanidines,C1CN2CCNC2=N1,ClCCl
830,N-Nucleophiles,16.15,Guanidines,C1CN=C2NCCN2C1,ClCCl
831,N-Nucleophiles,14.43,Guanidines,CN1CCCN2CCCN=C12,ClCCl
832,H-Nucleophiles,-0.74,H-C hydride donors,C/C=C/C/C=C/C,ClCCl
833,N-Nucleophiles,16.16,Guanidines,C1CN=C2NCCCN2C1,ClCCl
834,N-Nucleophiles,15.5,Amidines and Imines,C1CN=C2CCCN2C1,ClCCl
835,C-Nucleophiles,13.87,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCCC1)\c1ccccc1,CC#N
836,C-Nucleophiles,10.56,"Enamines, NHOs, Enamides and Ynamides",C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1C=Cc1ccccc1,CC#N
837,C-Nucleophiles,7.2,"Enamines, NHOs, Enamides and Ynamides",CN1C(=O)[C@H](Cc2ccccc2)N(C=Cc2ccccc2)C1(C)C,CC#N
838,C-Nucleophiles,7.92,"Enamines, NHOs, Enamides and Ynamides",CN1C(=O)[C@H](Cc2ccccc2)N(C=Cc2ccccc2)C12CCCC2,CC#N
839,C-Nucleophiles,5.8,"Enamines, NHOs, Enamides and Ynamides",CN1C(=O)[C@H](Cc2ccccc2)N(C=Cc2ccccc2)[C@@H]1C(C)(C)C,CC#N
840,C-Nucleophiles,-0.88,Enol Ethers,CCCC1C=CCC1,ClCCl
841,C-Nucleophiles,17.41,Breslow intermediates,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2=Cc2ccccc2)c(C)c1,CS(C)=O
842,H-Nucleophiles,0.64,H-C hydride donors,c1ccc2c(c1)Cc1ccccc1O2,ClCCl
843,C-Nucleophiles,1.47,Enol Ethers,C=C(O[Si](C)(C)C)c1c(F)c(F)c(F)c(F)c1F,ClCCl
844,C-Nucleophiles,-2.94,Enol Ethers,C=C(O[Si](C)(C)C)C(F)(F)F,ClCCl
845,C-Nucleophiles,-3.52,Enol Ethers,C=C(O[Si](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ClCCl
846,C-Nucleophiles,4.46,Enol Ethers,C=C(C)O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
847,C-Nucleophiles,5.41,Enol Ethers,C=C(O[Si](C)(C)C)C(C)C,ClCCl
848,C-Nucleophiles,5.58,Enol Ethers,C=C(C)O[Si](C)(C)C(C)(C)C,ClCCl
849,H-Nucleophiles,-0.73,H-C hydride donors,CC=CC(C)C=CC,ClCCl
850,C-Nucleophiles,3.76,Enol Ethers,C=COCCCC,ClCCl
851,N-Nucleophiles,2.23,Other N-centered nucleophiles,CC#N,CC#N
852,H-Nucleophiles,-3.08,H-C hydride donors,C=CC(C)C=C,ClCCl
853,N-Nucleophiles,14.8,"Pyridines, Quinolines etc.",c1cc(N2CCOCC2)ccn1,CC#N
854,N-Nucleophiles,12.96,"Pyridines, Quinolines etc.",CN(C)c1ccncc1Br,CC#N
855,N-Nucleophiles,11.11,"Pyridines, Quinolines etc.",Nc1c(Br)cncc1Br,CC#N
856,N-Nucleophiles,13.24,"Pyridines, Quinolines etc.",CC(=O)Nc1ccncc1,CC#N
857,N-Nucleophiles,17.73,"Hydrazines, Hydroxylamines etc.",CNN,CC#N
858,N-Nucleophiles,16.15,"Hydrazines, Hydroxylamines etc.",CNNC,CC#N
859,N-Nucleophiles,10.35,"Hydrazines, Hydroxylamines etc.",NNC=O,CC#N
860,N-Nucleophiles,15.69,"Hydrazines, Hydroxylamines etc.",CN(C)NC=O,CC#N
861,H-Nucleophiles,-2.99,H-C hydride donors,C=CCC=C,ClCCl
862,N-Nucleophiles,11.4,"Hydrazines, Hydroxylamines etc.",CC(C)(C)OC(=O)NN,CC#N
863,N-Nucleophiles,12.49,"Hydrazines, Hydroxylamines etc.",NNC(=O)c1ccccc1,CC#N
864,N-Nucleophiles,12.8,"Hydrazines, Hydroxylamines etc.",NO,CC#N
865,N-Nucleophiles,14.1,"Hydrazines, Hydroxylamines etc.",CNO,CC#N
866,N-Nucleophiles,11.39,Aliphatic amines,N,CC#N
867,N-Nucleophiles,15.19,Aliphatic amines,CN,CC#N
868,N-Nucleophiles,17.96,Aliphatic amines,CNC,CC#N
869,N-Nucleophiles,23.05,Aliphatic amines,CN(C)C,CC#N
870,H-Nucleophiles,3.15,H-Si hydride donors,C[SiH](C)C,ClCCl
871,H-Nucleophiles,3.3,H-Si hydride donors,CC[SiH](C)C,ClCCl
872,H-Nucleophiles,-2.8,H-C hydride donors,Cc1ccc(C(C)C)cc1,ClCCl
873,H-Nucleophiles,3.4,H-Si hydride donors,CC[SiH](C)CC,ClCCl
874,H-Nucleophiles,3.83,H-Si hydride donors,Cc1ccc([SiH](C)C)cc1,ClCCl
875,H-Nucleophiles,4.23,H-Si hydride donors,COc1ccc([SiH](C)C)cc1,ClCCl
876,H-Nucleophiles,3.05,H-Si hydride donors,C[SiH](C)c1ccc(Cl)cc1,ClCCl
877,H-Nucleophiles,2.72,H-Si hydride donors,C[SiH](c1ccccc1)c1ccccc1,ClCCl
878,H-Nucleophiles,2.13,H-Si hydride donors,C[SiH2]c1ccccc1,ClCCl
879,H-Nucleophiles,1.52,H-Si hydride donors,c1ccc([SiH2]c2ccccc2)cc1,ClCCl
880,H-Nucleophiles,3.67,H-Si hydride donors,CCC[SiH](CCC)CCC,ClCCl
881,H-Nucleophiles,2.93,H-Si hydride donors,CC(C)[SiH](C(C)C)C(C)C,ClCCl
882,H-Nucleophiles,3.89,H-Si hydride donors,CCCCCC[SiH](CCCCCC)CCCCCC,ClCCl
883,H-Nucleophiles,-4.12,H-C hydride donors,C=CCc1ccccc1,ClCCl
884,H-Nucleophiles,2.27,H-Si hydride donors,CCCCCC[SiH2]CCCCCC,ClCCl
885,H-Nucleophiles,0.19,H-Si hydride donors,CCCCCC[SiH3],ClCCl
886,H-Nucleophiles,0.8,H-Si hydride donors,C[SiH](C)CCl,ClCCl
887,H-Nucleophiles,2.78,H-Si hydride donors,C[SiH](C)Cc1ccccc1,ClCCl
888,H-Nucleophiles,0.79,H-Si hydride donors,C[SiH](C)Cl,ClCCl
889,H-Nucleophiles,-3.2,H-Si hydride donors,C[SiH](Cl)Cl,ClCCl
890,H-Nucleophiles,3.12,H-Si hydride donors,C[SiH](C)O[Si](C)(C)C,ClCCl
891,H-Nucleophiles,3.61,H-Si hydride donors,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,ClCCl
892,H-Nucleophiles,3.55,H-Si hydride donors,C[SiH](C)CC(C)(C)C,ClCCl
893,H-Nucleophiles,4.86,H-Si hydride donors,C[SiH](C)C[Si](C)(C)C,ClCCl
894,C-Nucleophiles,10.45,Breslow intermediates,CO/C(=C1\Sc2ccccc2N1C)c1ccccc1,C1CCOC1
895,C-Nucleophiles,15.33,Azolium enolates,C/C(=C(/[O-])c1n(-c2c(C)cc(C)cc2C)cc[n+]1-c1c(C)cc(C)cc1C)c1ccccc1,C1CCOC1
896,C-Nucleophiles,15.58,Breslow intermediates,CN1/C(=C\c2ccccc2)Sc2ccccc21,C1CCOC1
897,C-Nucleophiles,15.65,Breslow intermediates,CO/C(=C1/N(c2ccccc2)N=C(c2ccccc2)N1c1ccccc1)c1ccccc1,C1CCOC1
898,C-Nucleophiles,16.54,Carbenes (NHCs),Cn1[c-][n+](C(C)(C)C)cc1,C1CCOC1
899,C-Nucleophiles,16.61,Breslow intermediates,COC(=C1N(C)c2ccccc2N1C)c1ccccc1,C1CCOC1
900,C-Nucleophiles,20.41,Carbenes (NHCs),COc1ccc(-[n+]2[c-]n(C)cc2)cc1,C1CCOC1
901,C-Nucleophiles,21.5,Carbenes (NHCs),Cc1cc(C)c(-[n+]2[c-]n(C)cc2)c(C)c1,C1CCOC1
902,C-Nucleophiles,23,Carbenes (NHCs),COc1cccc(OC)c1-[n+]1[c-]n(C)cc1,C1CCOC1
903,C-Nucleophiles,23.35,Carbenes (NHCs),Cc1cc(C)c(N2[C-]=[N+](c3c(C)cc(C)cc3C)CC2)c(C)c1,C1CCOC1
904,N-Nucleophiles,14.9,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,CN(C)C=O
905,N-Nucleophiles,15.9,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,C1CCOC1
906,N-Nucleophiles,16.12,Amidines and Imines,C1CCC2=NCCCN2CC1,C1CCOC1
907,O-Nucleophiles,7.44,Alcohols and aqueous solvents,CCO,CCO
908,O-Nucleophiles,7.54,Alcohols and aqueous solvents,CO,CO
909,O-Nucleophiles,12.5,Carboxylates and Carbonates,CC(=O)[O-],CC(C)=O
910,O-Nucleophiles,15.05,Phenolate Ions,O=[N+]([O-])c1ccc([O-])cc1,CN(C)C=O
911,O-Nucleophiles,15.78,Alkoxide Anions,C[O-],CO
912,O-Nucleophiles,15.78,Alkoxide Anions,CC[O-],CCO
913,O-Nucleophiles,16.03,Alkoxide Anions,CCC[O-],CCCO
914,O-Nucleophiles,16.65,Phenolate Ions,O=[N+]([O-])c1ccccc1[O-],CN(C)C=O
915,O-Nucleophiles,16.73,Alkoxide Anions,C/C(=C(/[O-])c1n(-c2ccccc2)c(-c2ccccc2)n[n+]1-c1ccccc1)c1ccccc1,C1CCOC1
916,O-Nucleophiles,17.85,Phenolate Ions,N#Cc1ccc([O-])cc1,CN(C)C=O
917,O-Nucleophiles,18.74,Carboxylates and Carbonates,O=C([O-])c1ccc([N+](=O)[O-])cc1,CC(C)=O
918,O-Nucleophiles,18.8,Carboxylates and Carbonates,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CC(C)=O
919,O-Nucleophiles,19.65,Phenolate Ions,Cc1ccc([O-])cc1,CN(C)C=O
920,O-Nucleophiles,20.37,Phenolate Ions,[O-]c1ccccc1C(F)(F)F,CN(C)C=O
921,O-Nucleophiles,22.41,Phenolate Ions,O=[N+]([O-])c1cccc([O-])c1,CN(C)C=O
922,O-Nucleophiles,23.4,Phenolate Ions,[O-]c1cccc(C(F)(F)F)c1,CN(C)C=O
923,S-Nucleophiles,24.97,S- and Se-Nucleophiles,COc1ccc([S-])cc1,CS(C)=O
924,S-Nucleophiles,22.55,S- and Se-Nucleophiles,[S-]c1ccc2ccccc2c1,CS(C)=O
925,S-Nucleophiles,24.35,S- and Se-Nucleophiles,Cc1ccc([S-])cc1,CS(C)=O
926,S-Nucleophiles,23.36,S- and Se-Nucleophiles,[S-]c1ccccc1,CS(C)=O
927,S-Nucleophiles,22.8,S- and Se-Nucleophiles,[S-]c1ccc(Br)cc1,CS(C)=O
928,S-Nucleophiles,22.5,S- and Se-Nucleophiles,[S-]c1cccc(Cl)c1,CS(C)=O
929,S-Nucleophiles,21.75,S- and Se-Nucleophiles,FC(F)(F)c1cccc([S-])c1,CS(C)=O
930,S-Nucleophiles,21.3,S- and Se-Nucleophiles,FC(F)(F)c1ccc([S-])cc1,CS(C)=O
931,S-Nucleophiles,19.71,S- and Se-Nucleophiles,FC(F)(F)c1cc([S-])cc(C(F)(F)F)c1,CS(C)=O
932,S-Nucleophiles,18.92,S- and Se-Nucleophiles,O=[N+]([O-])c1ccc([S-])cc1,CS(C)=O
933,S-Nucleophiles,11.94,S- and Se-Nucleophiles,C1CCSCC1,ClCCl
934,S-Nucleophiles,11.86,S- and Se-Nucleophiles,CCCCSCCCC,ClCCl
935,S-Nucleophiles,12.32,S- and Se-Nucleophiles,CSC,ClCCl
936,P-Nucleophiles,13.59,P-Nucleophiles,c1ccc(P(c2ccccc2)c2ccccc2)cc1,C1CCOC1
937,P-Nucleophiles,14.88,P-Nucleophiles,Cc1ccc(P(c2ccc(C)cc2C)c2ccc(C)cc2C)c(C)c1,ClCCl
938,P-Nucleophiles,18.11,P-Nucleophiles,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,CC#N
939,O-Nucleophiles,7.13,Alcohols and aqueous solvents,CCO,CC#N
940,O-Nucleophiles,5.79,Alcohols and aqueous solvents,O,CC#N
941,O-Nucleophiles,5.35,Alcohols and aqueous solvents,CC(C)(C)O,CC#N
942,O-Nucleophiles,6.82,Alcohols and aqueous solvents,CC(C)O,CC#N
943,O-Nucleophiles,15.14,Phenolate Ions,O=[N+]([O-])c1ccc([O-])cc1,CC#N
944,O-Nucleophiles,15.48,Phenolate Ions,O=[N+]([O-])c1ccccc1[O-],CS(C)=O
945,O-Nucleophiles,15.83,Phenolate Ions,O=[N+]([O-])c1ccccc1[O-],CC#N
946,O-Nucleophiles,25.51,Phenolate Ions,O=[N+]([O-])c1cccc([O-])c1,CC#N
947,O-Nucleophiles,19.58,Phenolate Ions,N#Cc1ccc([O-])cc1,CC#N
948,O-Nucleophiles,18.39,Phenolate Ions,[O-]c1ccccc1C(F)(F)F,CC#N
949,O-Nucleophiles,21.69,Phenolate Ions,[O-]c1ccc(C(F)(F)F)cc1,CC#N
950,O-Nucleophiles,22.05,Phenolate Ions,[O-]c1ccc(C(F)(F)F)cc1,CN(C)C=O
951,O-Nucleophiles,23.2,Phenolate Ions,[O-]c1cccc(C(F)(F)F)c1,CC#N
952,O-Nucleophiles,18.32,Phenolate Ions,[O-]c1ccc(Cl)cc1,CC#N
953,O-Nucleophiles,19.67,Phenolate Ions,[O-]c1ccc(Cl)cc1,CN(C)C=O
954,O-Nucleophiles,18.53,Phenolate Ions,[O-]c1ccccc1,CC#N
955,O-Nucleophiles,18.86,Phenolate Ions,[O-]c1ccccc1,CN(C)C=O
956,O-Nucleophiles,21.7,Phenolate Ions,CC(C)(C)c1ccc([O-])cc1,CC#N
957,O-Nucleophiles,19.9,Phenolate Ions,CC(C)(C)c1ccc([O-])cc1,CN(C)C=O
958,O-Nucleophiles,20.62,Phenolate Ions,COc1ccc([O-])cc1,CC#N
959,O-Nucleophiles,19.9,Phenolate Ions,COc1ccc([O-])cc1,CN(C)C=O
960,O-Nucleophiles,14.3,Phenolate Ions,Cc1ccc([O-])cc1,O
961,O-Nucleophiles,16.45,Carboxylates and Carbonates,O=C([O-])c1ccccc1,CC#N
962,O-Nucleophiles,6.86,Alcohols and aqueous solvents,CO,CC#N
963,P-Nucleophiles,14.33,P-Nucleophile,c1ccc(P(c2ccccc2)c2ccccc2)cc1,ClCCl
964,P-Nucleophiles,18.39,P-Nucleophile,CN(C)c1ccc(P(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,ClCCl
965,N-Nucleophiles,13.33,Aliphatic amines,CCCN,O
966,N-Nucleophiles,13.21,Aliphatic amines,C=CCN,O
967,N-Nucleophiles,10.13,Aliphatic amines,NCC(F)(F)F,CC#N
968,N-Nucleophiles,14.11,Aliphatic amines,NCCO,CC#N
969,N-Nucleophiles,14.29,Aliphatic amines,NCc1ccccc1,CC#N
970,N-Nucleophiles,17.1,Aliphatic amines,CCN(CC)CC,CC#N
971,N-Nucleophiles,20.59,Aliphatic amines,CN1CCCC1,CC#N
972,N-Nucleophiles,18.72,Aliphatic amines,CN1CCCCC1,CC#N
973,N-Nucleophiles,16.8,Aliphatic amines,CN1CCOCC1,CC#N
974,N-Nucleophiles,15.7,Aliphatic amines,CN1CCCC1c1ccccc1,CC#N
975,N-Nucleophiles,12.99,Aromatic amines,Nc1ccccc1,O
976,N-Nucleophiles,13,Aromatic amines,Cc1ccc(N)cc1,O
977,N-Nucleophiles,14.28,Aromatic amines,COc1ccc(N)cc1,O
978,N-Nucleophiles,20.11,Amide anions,O=c1cccc[n-]1,CC#N
979,N-Nucleophiles,12.47,Amide anions,O=c1cccc[n-]1,O
980,N-Nucleophiles,20.22,Amide anions,O=c1cc[n-]cc1,CC#N
981,N-Nucleophiles,14.76,Amide anions,O=c1cc[n-]cc1,O
982,N-Nucleophiles,11.47,Azoles and Azole Anions,c1c[nH]cn1,CC#N
983,N-Nucleophiles,9.45,Azoles and Azole Anions,Cc1ncc[nH]1,O
984,N-Nucleophiles,11.37,Azoles and Azole Anions,O=[N+]([O-])c1c[n-]cn1,O
985,N-Nucleophiles,11.07,Azoles and Azole Anions,O=Cc1ncc[n-]1,O
986,N-Nucleophiles,11.52,Azoles and Azole Anions,c1ccc2[n-]nnc2c1,O
987,N-Nucleophiles,9.63,Azoles and Azole Anions,c1c[nH]cn1,O
988,N-Nucleophiles,11.72,"Hydrazines, Hydroxylamines etc.",CN(C)N,CC#N
989,N-Nucleophiles,17.75,"Hydrazines, Hydroxylamines etc.",CNN(C)C,CC#N
990,N-Nucleophiles,13.46,"Hydrazines, Hydroxylamines etc.",NN,O
991,N-Nucleophiles,17.9,"Hydrazines, Hydroxylamines etc.",C=NN1CCCC1,ClCCl
992,N-Nucleophiles,11.41,"Hydrazines, Hydroxylamines etc.",NO,O
993,N-Nucleophiles,14.43,Imidazolines and related compounds,CC1=NCCCN1,CC#N
994,N-Nucleophiles,14.58,Imidazolines and related compounds,CC1=NCCCN1,CS(C)=O
995,N-Nucleophiles,11,Nucleobases and Their Subunits,c1ncc2nc[n-]c2n1,O
996,N-Nucleophiles,10.06,Nucleobases and Their Subunits,Cn1c(=O)c2nc[n-]c2n(C)c1=O,O
997,N-Nucleophiles,10.93,Nucleobases and Their Subunits,Nc1ncnc2[n-]cnc12,O
998,N-Nucleophiles,10.75,Nucleobases and Their Subunits,O=c1cc[n-]c(=O)[nH]1,O
999,N-Nucleophiles,8.54,Nucleobases and Their Subunits,Cn1ccc(=O)[n-]c1=O,O
1000,N-Nucleophiles,11.17,Nucleobases and Their Subunits,Cc1c[n-]c(=O)[nH]c1=O,O
1001,N-Nucleophiles,10.5,"Pyridines, Quinolines etc.",Clc1ccncc1,O
1002,N-Nucleophiles,11.05,"Pyridines, Quinolines etc.",c1ccncc1,O
1003,N-Nucleophiles,11.1,"Pyridines, Quinolines etc.",Cc1ccncc1,O
1004,N-Nucleophiles,11.44,"Pyridines, Quinolines etc.",COc1ccncc1,O
1005,N-Nucleophiles,12.19,"Pyridines, Quinolines etc.",Nc1ccncc1,O
1006,N-Nucleophiles,15.51,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,CC#N
1007,N-Nucleophiles,13.19,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,O
1008,N-Nucleophiles,14.8,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,CS(C)=O
1009,N-Nucleophiles,15.9,"Pyridines, Quinolines etc.",c1cc(N2CCCC2)ccn1,ClCCl
1010,N-Nucleophiles,11.5,"Pyridines, Quinolines etc.",Cc1cccnc1,CC#N
1011,N-Nucleophiles,15.6,"Pyridines, Quinolines etc.",c1ncc2c3c1CCCN3CCC2,CC#N
1012,N-Nucleophiles,14.99,"Pyridines, Quinolines etc.",c1cc(N2CCCC2)ccn1,CC#N
1013,N-Nucleophiles,12.13,Other N-centered nucleophiles,N#C[S-],CC#N
1014,X-Nucleophiles,17.2,Halide Anions,[Cl-],CC#N
1015,X-Nucleophiles,7.7,Halide Anions,[F-],O
1016,H-Nucleophiles,-1.9,H-C hydride donors,CC[Sn](CC)(CC)CC,ClCCCl
1017,H-Nucleophiles,-0.5,H-C hydride donors,CCC[Sn](CCC)(CCC)CCC,ClCCCl
1018,H-Nucleophiles,-1.1,H-C hydride donors,CCCC[Sn](CCCC)(CCCC)CCCC,ClCCCl
1019,H-Nucleophiles,-1.8,H-C hydride donors,C[Sn](C)(C)CCc1ccc(Cl)cc1,ClCCCl
1020,H-Nucleophiles,-1.1,H-C hydride donors,C[Sn](C)(C)CCc1ccccc1,ClCCCl
1021,H-Nucleophiles,-0.8,H-C hydride donors,C[Sn](C)(C)CCc1ccc(-c2ccccc2)cc1,ClCCCl
1022,H-Nucleophiles,-0.5,H-C hydride donors,Cc1ccc(CC[Sn](C)(C)C)cc1,ClCCCl
1023,H-Nucleophiles,-0.3,H-C hydride donors,CC(C)(C)c1ccc(CC[Sn](C)(C)C)cc1,ClCCCl
1024,H-Nucleophiles,-0.2,H-C hydride donors,COc1ccc(CC[Sn](C)(C)C)cc1,ClCCCl
1025,H-Nucleophiles,-8.8,H-C hydride donors,Cc1ccc(C(c2ccc(C)cc2)c2ccc(C)cc2)cc1,CC#N
1026,H-Nucleophiles,-3.3,H-C hydride donors,CN(C)c1ccc(C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,CC#N
1027,H-Nucleophiles,2.65,H-Si hydride donors,c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,ClCCl
1028,H-Nucleophiles,14.74,H-B hydride donors,[BH4-],CS(C)=O
1029,H-Nucleophiles,15.14,H-B hydride donors,[BH4-],CS(C)=O
